No,1,2,3
52,33031,8756,9369
53,32932,8808,9382
54,32893,8803,9425
55,32901,8855,9493
56,32913,8934,9534
57,32887,8977,9563
58,32854,8983,9601
59,32830,9025,9614
60,32833,9051,9632
61,32854,9067,9643
62,32882,9089,9653
63,32910,9081,9664
64,32937,9098,9678
65,32946,9111,9730
66,32904,9166,9806
67,32883,9235,9865
68,32948,9324,9971
69,32939,9396,10000
70,33001,9411,9977
71,32988,9393,9947
72,32998,9393,10006
73,33083,9434,10043
74,33129,9471,10042
75,33240,9500,10070
76,33212,9504,10083
77,33218,9478,10005
78,33146,9441,9904
79,33230,9420,9902
80,33237,9379,9966
81,33238,9386,10020
82,33256,9453,10042
83,33219,9557,10050
84,33336,9504,9948
85,33425,9506,9963
86,33499,9398,9947
87,33554,9382,9910
88,33566,9365,9848
89,33538,9266,9792
90,33565,9299,9734
91,33617,9209,9707
92,33642,9146,9699
93,33655,9018,9660
94,33650,9086,9655
95,33624,9088,9664
96,33555,9070,9634
97,33552,9064,9625
98,33557,9016,9588
99,33591,8982,9511
100,33646,8938,9407
101,33667,8823,9319
102,33635,8745,9330
103,33582,8733,9302
104,33549,8741,9308
105,33553,8743,9285
106,33483,8724,9270
107,33430,8685,9235
108,33370,8650,9232
109,33338,8657,9259
110,33301,8700,9296
111,33282,8709,9310
112,33261,8732,9324
113,33247,8758,9350
114,33231,8780,9313
115,33227,8741,9290
116,33197,8717,9289
117,33127,8739,9329
118,33040,8739,9363
119,32948,8778,9382
120,32890,8811,9404
121,32898,8842,9474
122,32910,8917,9524
123,32899,8952,9559
124,32880,8988,9587
125,32833,9019,9624
126,32794,9050,9635
127,32835,9058,9622
128,32934,9073,9655
129,32923,9084,9697
130,32962,9095,9690
131,32940,9103,9708
132,32928,9138,9802
133,32912,9218,9877
134,32879,9292,9931
135,32991,9379,9981
136,32965,9416,10010
137,32984,9401,9962
138,32895,9395,9933
139,33030,9421,9968
140,33111,9442,10041
141,33140,9467,10057
142,33165,9494,10028
143,33161,9532,10015
144,33190,9476,9904
145,33240,9462,9950
146,33218,9374,9956
147,33240,9392,10015
148,33255,9469,10061
149,33263,9475,10060
150,33330,9551,9999
151,33419,9484,9972
152,33493,9421,9964
153,33546,9292,9915
154,33551,9351,9850
155,33548,9290,9809
156,33536,9222,9755
157,33583,9179,9716
158,33635,9136,9685
159,33650,9079,9688
160,33647,9112,9649
161,33631,9082,9647
162,33596,9082,9660
163,33550,9082,9619
164,33535,9062,9586
165,33583,9031,9511
166,33637,8962,9448
167,33675,8878,9340
168,33627,8761,9303
169,33597,8719,9309
170,33564,8751,9317
171,33563,8736,9297
172,33496,8721,9259
173,33430,8693,9239
174,33380,8665,9232
175,33345,8650,9258
176,33312,8680,9288
177,33291,8734,9309
178,33276,8722,9322
179,33259,8729,9351
180,33243,8775,9324
181,33237,8767,9291
182,33208,8731,9286
183,33153,8702,9319
184,33076,8736,9355
185,32970,8775,9399
186,32885,8811,9412
187,32889,8817,9437
188,32967,8883,9514
189,32933,8944,9591
190,32927,8984,9590
191,32831,9005,9628
192,32821,9042,9640
193,32856,9059,9647
194,32857,9070,9646
195,32975,9077,9654
196,32945,9097,9734
197,32945,9099,9704
198,32855,9126,9743
199,32894,9204,9765
200,32882,9250,9913
201,32894,9350,9961
202,32936,9393,9949
203,32945,9439,9957
204,32950,9420,9900
205,33045,9445,10002
206,33085,9430,10043
207,33144,9489,10058
208,33182,9522,10048
209,33203,9478,10027
210,33220,9501,9963
211,33243,9462,9947
212,33250,9404,9964
213,33237,9309,9993
214,33249,9401,10042
215,33275,9478,10065
216,33293,9491,10031
217,33377,9459,9979
218,33479,9426,9948
219,33539,9340,9954
220,33557,9389,9861
221,33544,9308,9801
222,33573,9243,9786
223,33570,9208,9727
224,33616,9173,9682
225,33650,9125,9668
226,33670,9112,9674
227,33660,9109,9651
228,33590,9072,9647
229,33560,9070,9628
230,33552,9080,9615
231,33584,9044,9541
232,33618,8977,9466
233,33657,8902,9364
234,33649,8809,9306
235,33615,8727,9308
236,33581,8730,9324
237,33566,8774,9302
238,33527,8718,9277
239,33451,8692,9241
240,33392,8662,9233
241,33355,8674,9242
242,33323,8676,9282
243,33296,8698,9308
244,33286,8733,9319
245,33242,8741,9366
246,33234,8771,9358
247,33219,8770,9276
248,33255,8724,9277
249,33201,8713,9359
250,33137,8730,9363
251,32987,8768,9417
252,32918,8804,9396
253,32909,8818,9437
254,32891,8861,9514
255,32954,8932,9534
256,32917,8975,9648
257,32858,9002,9617
258,32745,9033,9616
259,32800,9058,9551
260,32852,9062,9637
261,32882,9078,9648
262,32896,9070,9652
263,32907,9116,9684
264,32906,9143,9685
265,32924,9198,9797
266,32886,9237,9901
267,32891,9347,9950
268,32941,9415,9967
269,32964,9396,9963
270,32988,9402,9952
271,33020,9451,9988
272,33089,9440,10048
273,33121,9416,10056
274,33157,9448,10051
275,33206,9496,10033
276,33212,9463,9999
277,33221,9424,9950
278,33240,9407,9942
279,33250,9319,9991
280,33248,9411,10023
281,33242,9463,10052
282,33306,9495,10054
283,33342,9485,9999
284,33422,9441,9953
285,33514,9393,9941
286,33563,9380,9902
287,33546,9352,9819
288,33526,9245,9792
289,33559,9208,9729
290,33603,9185,9703
291,33642,9136,9684
292,33649,9106,9677
293,33634,9105,9657
294,33611,9094,9649
295,33568,9068,9638
296,33550,9058,9623
297,33550,9082,9563
298,33608,8985,9489
299,33649,8911,9391
300,33656,8818,9319
301,33618,8755,9297
302,33581,8721,9325
303,33551,8745,9309
304,33541,8734,9285
305,33455,8710,9265
306,33404,8672,9244
307,33343,8654,9217
308,33360,8658,9261
309,33334,8688,9363
310,33310,8726,9334
311,33240,8739,9389
312,33262,8755,9347
313,33248,8781,9300
314,33204,8740,9308
315,33203,8712,9291
316,33153,8721,9418
317,33030,8758,9389
318,32866,8789,9383
319,32849,8817,9324
320,32903,8849,9470
321,32905,8918,9525
322,32876,8939,9553
323,32855,8991,9588
324,32770,9061,9565
325,32818,9064,9604
326,32837,9071,9647
327,32880,9091,9636
328,32914,9095,9660
329,32915,9093,9682
330,32947,9101,9712
331,32924,9208,9794
332,32905,9236,9887
333,32867,9269,9950
334,32907,9319,9964
335,32965,9402,9956
336,32982,9388,9970
337,32996,9380,9970
338,33055,9428,10022
339,33121,9395,10061
340,33147,9481,10061
341,33169,9502,10037
342,33236,9475,10011
343,33201,9444,9985
344,33218,9410,9936
345,33233,9375,9959
346,33265,9390,10028
347,33258,9467,10059
348,33264,9479,10065
349,33334,9486,10000
350,33411,9460,9974
351,33498,9413,9952
352,33551,9378,9923
353,33553,9356,9845
354,33535,9293,9796
355,33559,9212,9755
356,33595,9179,9717
357,33628,9172,9690
358,33658,9113,9680
359,33644,9093,9668
360,33620,9085,9656
361,33582,9096,9644
362,33558,9061,9638
363,33549,9063,9598
364,33597,9023,9512
365,33643,8944,9437
366,33659,8861,9334
367,33608,8765,9285
368,33594,8720,9308
369,33593,8737,9382
370,33569,8753,9315
371,33484,8717,9320
372,33431,8682,9223
373,33387,8661,9231
374,33334,8656,9280
375,33308,8684,9290
376,33343,8718,9388
377,33281,8741,9352
378,33211,8746,9358
379,33179,8785,9224
380,33217,8772,9270
381,33204,8726,9286
382,33122,8690,9315
383,33066,8738,9359
384,32895,8835,9349
385,32890,8825,9366
386,32888,8861,9467
387,32905,8899,9513
388,32897,8957,9553
389,32873,8992,9600
390,32825,9005,9611
391,32817,9116,9628
392,32852,9069,9645
393,32860,9059,9656
394,32904,9005,9653
395,32921,9082,9668
396,32938,9103,9710
397,32934,9110,9769
398,32899,9214,9840
399,32891,9207,9943
400,32886,9350,9965
